Temperatur,Kennlinie1,Kennlinie2
280,68000,134183.673469388
281.010101010101,67595.9595959596,132861.943447685
282.020202020202,67191.9191919192,131554.389947537
283.030303030303,66787.8787878788,130260.810953326
284.040404040404,66383.8383838384,128981.008035062
285.050505050505,65979.797979798,127714.786272283
286.060606060606,65575.7575757576,126461.954179833
287.070707070707,65171.7171717172,125222.323635465
288.080808080808,64767.6767676768,123995.709809213
289.090909090909,64363.6363636364,122781.931094498
290.10101010101,63959.595959596,121580.809040898
291.111111111111,63555.5555555556,120392.168288561
292.121212121212,63151.5151515152,119215.836504192
293.131313131313,62747.4747474748,118051.644318588
294.141414141414,62343.4343434343,116899.425265668
295.151515151515,61939.393939394,115759.015722966
296.161616161616,61535.3535353535,114630.254853533
297.171717171717,61131.3131313131,113512.984549234
298.181818181818,60727.2727272727,112407.049375372
299.191919191919,60323.2323232323,111312.296516625
300.20202020202,59919.1919191919,110228.575724256
301.212121212121,59515.1515151515,109155.739264561
302.222222222222,59111.1111111111,108093.641868512
303.232323232323,58707.0707070707,107042.140682583
304.242424242424,58303.0303030303,106001.095220711
305.252525252525,57898.9898989899,104970.36731737
306.262626262626,57494.9494949495,103949.821081725
307.272727272727,57090.9090909091,102939.322852841
308.282828282828,56686.8686868687,101938.741155919
309.292929292929,56282.8282828283,100947.946659522
310.30303030303,55878.7878787879,99966.812133789
311.313131313131,55474.7474747475,98995.2124095826
312.323232323232,55070.7070707071,98033.0243385677
313.333333333333,54666.6666666667,97080.1267541874
314.343434343434,54262.6262626263,96136.4004335155
315.353535353535,53858.5858585859,95201.7280599626
316.363636363636,53454.5454545455,94275.9941868146
317.373737373737,53050.5050505051,93359.085201583
318.383838383838,52646.4646464646,92450.8892911438
319.393939393939,52242.4242424243,91551.2964076492
320.40404040404,51838.3838383838,90660.1982351884
321.414141414141,51434.3434343434,89777.4881571821
322.424242424242,51030.303030303,88903.0612244898
323.434343434343,50626.2626262626,88036.8141242142
324.444444444444,50222.2222222222,87178.6451491837
325.454545454545,49818.1818181818,86328.4541680971
326.464646464646,49414.1414141414,85486.1425963141
327.474747474747,49010.101010101,84651.6133672751
328.484848484848,48606.0606060606,83824.7709045356
329.494949494949,48202.0202020202,83005.5210943999
330.505050505051,47797.9797979798,82193.7712591388
331.515151515152,47393.9393939394,81389.4301307782
332.525252525253,46989.898989899,80592.4078254438
333.535353535354,46585.8585858586,79802.6158182494
334.545454545455,46181.8181818182,79019.9669187145
335.555555555556,45777.7777777778,78244.3752466997
336.565656565657,45373.7373737374,77475.7562088461
337.575757575758,44969.696969697,76714.0264755084
338.585858585859,44565.6565656566,75959.1039581684
339.59595959596,44161.6161616162,75210.9077873182
340.606060606061,43757.5757575757,74469.3582908018
341.616161616162,43353.5353535353,73734.3769726045
342.626262626263,42949.494949495,73005.886492079
343.636363636364,42545.4545454546,72283.810643599
344.646464646465,42141.4141414141,71568.0743366286
345.656565656566,41737.3737373737,70858.6035761998
346.666666666667,41333.3333333333,70155.325443787
347.676767676768,40929.2929292929,69458.1680785701
348.686868686869,40525.2525252525,68767.0606590768
349.69696969697,40121.2121212121,68081.9333851962
350.707070707071,39717.1717171717,67402.7174605534
351.717171717172,39313.1313131313,66729.3450752388
352.727272727273,38909.0909090909,66061.749388883
353.737373737374,38505.0505050505,65399.864514069
354.747474747475,38101.0101010101,64743.6255000752
355.757575757576,37696.9696969697,64092.9683169409
356.767676767677,37292.9292929293,63447.8298398464
357.777777777778,36888.8888888889,62808.1478338027
358.787878787879,36484.8484848485,62173.8609386414
359.79797979798,36080.8080808081,61544.9086542993
360.808080808081,35676.7676767677,60921.231326392
361.818181818182,35272.7272727273,60302.7701320674
362.828282828283,34868.6868686869,59689.4670661356
363.838383838384,34464.6464646465,59081.264927468
364.848484848485,34060.606060606,58478.1073056589
365.858585858586,33656.5656565657,57879.9385679453
366.868686868687,33252.5252525253,57286.7038463778
367.878787878788,32848.4848484849,56698.3490252382
368.888888888889,32444.4444444444,56114.8207286979
369.89898989899,32040.404040404,55536.0663087115
370.909090909091,31636.3636363636,54962.0338331411
371.919191919192,31232.3232323232,54392.6720741066
372.929292929293,30828.2828282828,53827.9304965554
373.939393939394,30424.2424242424,53267.7592470494
374.949494949495,30020.202020202,52712.1091427616
375.959595959596,29616.1616161616,52160.9316606806
376.969696969697,29212.1212121212,51614.1789270169
377.979797979798,28808.0808080808,51071.8037068069
378.989898989899,28404.0404040404,50533.7593937107
380,28000,50000
